symbol
EURAUD
AUDNZD
GBPMXN
GBPJPY
USDSEK
EURJPY
EURMXN
CHFPLN
USDJPY
USDMXN
EURRUB
EURZAR
AUDJPY
GBPCAD
GBPNZD
AUDCHF
USDRUB
NZDUSD
EURRON
USDZAR
NZDCHF
EURSEK
USDCLP
CHFJPY
GBPAUD
GBPCHF
EURNOK
GBPPLN
USDCHF
CADJPY
USDTRY
GBPUSD
EURCZK
EURCNH
USDNOK
EURCHF
USDHUF
EURHUF
USDIDX
GBPZAR
AUDUSD
USDPLN
USDCZK
USDCNH
NZDJPY
EURNZD
EURCAD
EURGBP
USDRON
EURUSD
EURPLN
CHFHUF
CADCHF
EURTRY
AUDCAD
USDBRL
USDCAD
NZDCAD
