date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.0047,47.0,Tuesday,0
2023-02-14 01:00:00,0.0045,45.0,Tuesday,1
2023-02-14 02:00:00,0.0045,45.0,Tuesday,2
2023-02-14 03:00:00,0.0044,44.0,Tuesday,3
2023-02-14 04:00:00,0.0045,45.0,Tuesday,4
2023-02-14 05:00:00,0.0046,46.0,Tuesday,5
2023-02-14 06:00:00,0.00455,45.5,Tuesday,6
2023-02-14 07:00:00,0.0039,39.0,Tuesday,7
2023-02-14 08:00:00,0.00205,20.5,Tuesday,8
2023-02-14 09:00:00,0.0022,22.0,Tuesday,9
2023-02-14 10:00:00,0.0019,19.0,Tuesday,10
2023-02-14 11:00:00,0.0019,19.0,Tuesday,11
2023-02-14 12:00:00,0.002,20.0,Tuesday,12
2023-02-14 13:00:00,0.0019,19.0,Tuesday,13
2023-02-14 14:00:00,0.0035499999999999998,35.5,Tuesday,14
2023-02-14 15:00:00,0.0019,19.0,Tuesday,15
2023-02-14 16:00:00,0.0019,19.0,Tuesday,16
2023-02-14 17:00:00,0.00205,20.5,Tuesday,17
2023-02-14 18:00:00,0.00195,19.5,Tuesday,18
2023-02-14 19:00:00,0.0024,24.0,Tuesday,19
2023-02-14 20:00:00,0.00335,33.5,Tuesday,20
2023-02-14 21:00:00,0.0032500000000000003,32.5,Tuesday,21
2023-02-14 22:00:00,0.0034000000000000002,34.0,Tuesday,22
2023-02-14 23:00:00,0.00655,65.5,Tuesday,23
2023-02-15 00:00:00,0.01185,118.5,Wednesday,0
2023-02-15 01:00:00,0.00665,66.5,Wednesday,1
2023-02-15 02:00:00,0.0060999999999999995,61.0,Wednesday,2
2023-02-15 03:00:00,0.0058,58.0,Wednesday,3
2023-02-15 04:00:00,0.00775,77.5,Wednesday,4
2023-02-15 05:00:00,0.0081,81.0,Wednesday,5
2023-02-15 06:00:00,0.0078,78.0,Wednesday,6
2023-02-15 07:00:00,0.0041,41.0,Wednesday,7
2023-02-15 08:00:00,0.0023,23.0,Wednesday,8
2023-02-15 09:00:00,0.0019,19.0,Wednesday,9
2023-02-15 10:00:00,0.0019,19.0,Wednesday,10
2023-02-15 11:00:00,0.00195,19.5,Wednesday,11
2023-02-15 12:00:00,0.0019,19.0,Wednesday,12
2023-02-15 13:00:00,0.0019,19.0,Wednesday,13
2023-02-15 14:00:00,0.00205,20.5,Wednesday,14
2023-02-15 15:00:00,0.00195,19.5,Wednesday,15
2023-02-15 16:00:00,0.0019,19.0,Wednesday,16
2023-02-15 17:00:00,0.0019,19.0,Wednesday,17
2023-02-15 18:00:00,0.00195,19.5,Wednesday,18
2023-02-15 19:00:00,0.0019,19.0,Wednesday,19
2023-02-15 20:00:00,0.0029,29.0,Wednesday,20
2023-02-15 21:00:00,0.00275,27.5,Wednesday,21
2023-02-15 22:00:00,0.0037,37.0,Wednesday,22
2023-02-15 23:00:00,0.0072499999999999995,72.5,Wednesday,23
2023-02-16 00:00:00,0.00865,86.5,Thursday,0
2023-02-16 01:00:00,0.0070999999999999995,71.0,Thursday,1
2023-02-16 02:00:00,0.0073,73.0,Thursday,2
2023-02-16 03:00:00,0.00595,59.5,Thursday,3
2023-02-16 04:00:00,0.007,70.0,Thursday,4
2023-02-16 05:00:00,0.00975,97.5,Thursday,5
2023-02-16 06:00:00,0.009850000000000001,98.5,Thursday,6
2023-02-16 07:00:00,0.0039,39.0,Thursday,7
2023-02-16 08:00:00,0.0019,19.0,Thursday,8
2023-02-16 09:00:00,0.0019,19.0,Thursday,9
