date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.00037,3.7,Tuesday,0
2023-02-14 01:00:00,0.000285,2.8499999999999996,Tuesday,1
2023-02-14 02:00:00,0.00023500000000000002,2.3499999999999996,Tuesday,2
2023-02-14 03:00:00,0.00024,2.4,Tuesday,3
2023-02-14 04:00:00,0.00024,2.4,Tuesday,4
2023-02-14 05:00:00,0.00025,2.5,Tuesday,5
2023-02-14 06:00:00,0.00026,2.5999999999999996,Tuesday,6
2023-02-14 07:00:00,0.00022,2.2,Tuesday,7
2023-02-14 08:00:00,0.000435,4.35,Tuesday,8
2023-02-14 09:00:00,0.000205,2.05,Tuesday,9
2023-02-14 10:00:00,0.00021,2.1,Tuesday,10
2023-02-14 11:00:00,0.000235,2.35,Tuesday,11
2023-02-14 12:00:00,0.00021500000000000002,2.1500000000000004,Tuesday,12
2023-02-14 13:00:00,0.00023999999999999998,2.4000000000000004,Tuesday,13
2023-02-14 14:00:00,0.00037,3.6999999999999997,Tuesday,14
2023-02-14 15:00:00,0.000255,2.55,Tuesday,15
2023-02-14 16:00:00,0.00023500000000000002,2.3499999999999996,Tuesday,16
2023-02-14 17:00:00,0.00022,2.2,Tuesday,17
2023-02-14 18:00:00,0.00022,2.2,Tuesday,18
2023-02-14 19:00:00,0.00026000000000000003,2.5999999999999996,Tuesday,19
2023-02-14 20:00:00,0.00023500000000000002,2.35,Tuesday,20
2023-02-14 21:00:00,0.00021500000000000002,2.1500000000000004,Tuesday,21
2023-02-14 22:00:00,0.0005333333333333333,5.333333333333333,Tuesday,22
2023-02-14 23:00:00,0.00076,7.6,Tuesday,23
2023-02-15 00:00:00,0.000275,2.75,Wednesday,0
2023-02-15 01:00:00,0.00025,2.5,Wednesday,1
2023-02-15 02:00:00,0.00025,2.5,Wednesday,2
2023-02-15 03:00:00,0.00023500000000000002,2.3499999999999996,Wednesday,3
2023-02-15 04:00:00,0.00031499999999999996,3.15,Wednesday,4
2023-02-15 05:00:00,0.00026,2.5999999999999996,Wednesday,5
