date,spread,pips,weekday,hour
2023-02-14 00:00:00,0.00062,6.2,Tuesday,0
2023-02-14 01:00:00,0.00043,4.3,Tuesday,1
2023-02-14 02:00:00,0.000415,4.15,Tuesday,2
2023-02-14 03:00:00,0.000355,3.55,Tuesday,3
2023-02-14 04:00:00,0.00039,3.9,Tuesday,4
2023-02-14 05:00:00,0.000355,3.55,Tuesday,5
2023-02-14 06:00:00,0.00038,3.8,Tuesday,6
2023-02-14 07:00:00,0.00031999999999999997,3.2,Tuesday,7
2023-02-14 08:00:00,0.000415,4.15,Tuesday,8
2023-02-14 09:00:00,0.00034,3.4000000000000004,Tuesday,9
2023-02-14 10:00:00,0.00033,3.3,Tuesday,10
2023-02-14 11:00:00,0.000335,3.3499999999999996,Tuesday,11
2023-02-14 12:00:00,0.000295,2.95,Tuesday,12
2023-02-14 13:00:00,0.000295,2.95,Tuesday,13
2023-02-14 14:00:00,0.0006100000000000001,6.1000000000000005,Tuesday,14
2023-02-14 15:00:00,0.00035999999999999997,3.5999999999999996,Tuesday,15
2023-02-14 16:00:00,0.000335,3.3499999999999996,Tuesday,16
2023-02-14 17:00:00,0.00034500000000000004,3.45,Tuesday,17
2023-02-14 18:00:00,0.00035,3.5,Tuesday,18
2023-02-14 19:00:00,0.000325,3.25,Tuesday,19
2023-02-14 20:00:00,0.00035999999999999997,3.6,Tuesday,20
2023-02-14 21:00:00,0.00032,3.2,Tuesday,21
2023-02-14 22:00:00,0.00031999999999999997,3.2,Tuesday,22
2023-02-14 23:00:00,0.00087,8.7,Tuesday,23
2023-02-15 00:00:00,0.00037,3.6999999999999997,Wednesday,0
2023-02-15 01:00:00,0.00048,4.8,Wednesday,1
2023-02-15 02:00:00,0.00043000000000000004,4.3,Wednesday,2
2023-02-15 03:00:00,0.000395,3.95,Wednesday,3
2023-02-15 04:00:00,0.00035999999999999997,3.6,Wednesday,4
2023-02-15 05:00:00,0.000405,4.050000000000001,Wednesday,5
2023-02-15 06:00:00,0.000355,3.55,Wednesday,6
2023-02-15 07:00:00,0.00036,3.6,Wednesday,7
2023-02-15 08:00:00,0.00041999999999999996,4.199999999999999,Wednesday,8
2023-02-15 09:00:00,0.00037,3.7,Wednesday,9
2023-02-15 10:00:00,0.000355,3.55,Wednesday,10
2023-02-15 11:00:00,0.00031,3.0999999999999996,Wednesday,11
2023-02-15 12:00:00,0.000295,2.95,Wednesday,12
2023-02-15 13:00:00,0.00031,3.0999999999999996,Wednesday,13
2023-02-15 14:00:00,0.00044,4.4,Wednesday,14
2023-02-15 15:00:00,0.00033,3.3,Wednesday,15
2023-02-15 16:00:00,0.00031999999999999997,3.2,Wednesday,16
2023-02-15 17:00:00,0.000335,3.3499999999999996,Wednesday,17
2023-02-15 18:00:00,0.00029,2.9,Wednesday,18
2023-02-15 19:00:00,0.00031999999999999997,3.2,Wednesday,19
2023-02-15 20:00:00,0.00037,3.7,Wednesday,20
2023-02-15 21:00:00,0.00034500000000000004,3.45,Wednesday,21
2023-02-15 22:00:00,0.000355,3.55,Wednesday,22
